'Hi I&rsquo;m a Kara enthusiast'
'Ou to viajando?'
'You&apos;re giving me emoji movie flashbacks.'
'I&apos;d like to kiss you'
'*party'
'Your emoji game is strong'
'I&apos;m sure'
'&lpar;I&apos;m also not a polygamist&rpar;'
'Virgo'
'I&apos;m listening'
'I think I&apos;m 5&apos;5.5&quot;'
'I&apos;m a vegetarian'
'Or maybe I&apos;m just lucky'
'ikr'
'I&apos;m back'
'I&apos;m surprised'
'7 minutes, I&apos;m gone'
'I&apos;m sorry'
'I&apos;m just stupid'
'I&apos;m surprised'
'I&apos;m easy'
'I&apos;m good'
'I&apos;m not surprised'
'so presumptuous'
'I&apos;m just saying'
'I&apos;ll take'
'I&apos;m sure'
'surprising'
'ikr'
'but I&apos;m mostly vegetarian'
'also do you like pasta'
'THAT&apos;S IT'
'&apos;apparently&apos;'
'I&apos;m 26'
'I&apos;m 5&apos;6'
'I&apos;m 26'
'I&apos;m not anti-austrian'
'I&apos;m back'
'&apos;Their godforsaken planet&apos; &apos;THEIR&apos;'
'I&apos;m sorry'
'I&apos;m 5&apos;6'
'I&apos;m tamilian'
'It&apos;s vishakan_shivasubramaniam'
'I&apos;m gonna try'
'I&apos;m 1993'
'I&apos;m hurt'
'I&apos;m glad'
'I&apos;m a minimalist'
'I&apos;m lucky'
'I&apos;m not religious, so..'
'I&apos;m 24'
'I don&apos;t smoke'
'I&apos;m listening'
'I&apos;m not'
'I&apos;m stunned'
'I&apos;m not judging'
'I&apos;m not surprised'
'I&apos;m lost'
'I&apos;m glad'
'I&apos;m not surprised'
'I&apos;m 2011'
'I&apos;m fine'
'I&apos;m back'
'I&apos;m joking'
'I&apos;m back'
'I&apos;m safe'
'I&apos;m just lazy'
'I&apos;m not surprised'
'I&apos;m back'
'I&apos;m lucky'
'Vas y, je suis prêt !'
'virginia!'
'#badchemistryjokes'
'srsly'
'yo i&apos;m 31'
'I&apos;m from Virginia'
'I&apos;m game if you are'
'I&apos;m game anytime'
'I&apos;m 5&apos;11 you?'
'I&apos;m just me 🤷\u200d♂️'
'I&apos;m 100'
'I&apos;m uptown'
'I&apos;ll make sure I&apos;m up'
'I&apos;m 5&apos;11 you?'
'I&apos;m 5&apos;11 you?'
'I&apos;m 5&apos;11'
'To prism'
'I don&apos;t smoke 🚭'
'I&apos;m in Mission Viejo'
'Vos??'
'Vos??'
'Vos vivís solo?'
'Albo ultra memiarką'
'Myslę'
'I&apos;m stoked'
'I&apos;m kinda low'
'I&apos;m dying'
'Bonitas 🤣'
'Lol I&apos;m kidding'
'I&apos;m 5&apos;1'
'5&apos;1 😂'
'I&apos;m 5&apos;1 😂'
'Yea I&apos;m tryna slide'
'I go to davis!'
'Programista'
'Są kaktusy kulki'
'Śmigus dyngus! 💦'
'Siemanko ;&rpar;'
'Hi Gauri'
'Dios....'
'Haro,La Rioja'
'Mmm veamos... La A'
'&apos;Tiktiktiktitktik&apos;'
'&apos;Gasp&apos;'
'Srry apenas voy volviendo a mty'
'And I&rsquo;m like “WRONG!&rdquo;'
'I&rsquo;m surviving'
'I&apos;m glad'
'Airbnb'
'Pink?'
'Omg I&apos;m so jealous !!'
'1 is daisy'
'I&apos;d like to'
'I&apos;m kidding'
'I&apos;m like 5&apos;5'
'I&apos;m so glad'
'I&apos;m just a messy pink gal'
'Capybaras!!!'
'I&apos;m sleepy'
'I&apos;m'
'I&apos;m so glad'
'Kinky'
'I&apos;m so glad'
'I&apos;m so'
'I&apos;m so glad'
'I&apos;m in purgatory'
'I&apos;m asleep'
'It&apos;s like '
'I&apos;m gr8 u'
'tbh I&apos;m not sure I&apos;m sleepy '
'ikr'
'ikr'
'And I&apos;m like yeah I&apos;m broke'
'So I&apos;m gr8'
'Drinking'
'I&apos;m drinking by myself lmao'
'mas gostavas de visitar? 🙂'
'giro!'
'Anytime!'
'Anytime!'
'Da&apos;'
'ikni'
'Amai amai amai'
'Ja da&apos;s moeilijk'
'&apos;s avonds is me-time'
'&quot;niks gezien jos&quot;'
'Como vai? 🙂'
'Ola! Como vai? 😊'
'Como vai? 😄'
'I&apos;m a Muslim'
'Lool I&apos;m game'
'Plus I&rsquo;m drinking so it&rsquo;s topical'
'可能只能先聽個mojito'
'感覺這個party好溫馨'
'你們是今天party？'
'No I&apos;m just kidding'
'I&apos;m 25'
'Airbnb'
'video game?'
'你是住Airbnb？'
'guomao'
'Je sais pas vraiment'
'Vraiment'
'Mais je pre drink avant'
'Im like tacos, but burritos 🤢'
'J&rsquo;ai pas hate'
'VFX!'
'Vraiment'
'J&rsquo;ai pas trouvé ça sur kijiji haha'
'Umm je sais pas'
'Umm je dirais boris bistro'
'Je tai snap'
'J&rsquo;aimerais bien'
'Pas si pire!'
'Pas si pire'
'Euu je sais pas'
'Oups javais pas repondu'
'Qu&apos;as-tu pris a boir?'
'Je sais pas'
'Ok ok je vais m&apos;exprimer 😗'
'Tenemos a Dimitri Payet'
'I&apos;m living near kievskaya'
'amigos*'
'amo demais vikings'
'mas vi rapidão'
'vamo'
'vai pra praia, bar etc'
'ainda mais pra viajar'
'dai você vai viciar'
'mas imagina vai TODO MUNDO pra rua??? '
'mostro sim'
'20km* '
'e vamos de Animarketing'
'viu*'
'Very suboptimal'
'I&rsquo;m jealous'
'T&apos;as grandi là-bas ?'
'Sanka, t&apos;es mort ?'
'Sanka, t&apos;es mort ?'
'Ah je ne l&apos;ai pas vu !'
'australia'
'm?'
'klingt plausibel 😅'
'aus graz 😊'
'Liga&apos;s'
'Prima'
'Prima'
'Lit'
'Ja klopt'
'I&apos;m in.'
'7 amigos.'
'Cómo vas amiga?'
'I&apos;m back!'
'I&apos;m serious'
'I&apos;m 42'
'I&apos;m into it'
'Nos vemos'
'No tengo hijos'
'Vayamos!'
'Muchos turistas'
'Como vas tu?'
'Es su pais!'
'Vamos'
'50 metros'
'Hai mai visto babadook?'
'Vesuviano?'
'Sono 40 minuti'
'Breaking bad l&apos;hai visto?'
'L&apos;hai visto?'
'Pavia pavia'
'L&apos;hai mai visitato?'
'Sorry I&apos;m stupid'
'L&apos;hai mai visto?'
'Tu vivi a Milano, giusto?'
'&apos;70'
'Ma fai tanti km?'
'Ah giusto'
'Vivi a Bergamo?'
'Mai visti?'
'I&apos;m fine'
'30km'
'I&apos;m back'
'stai ***'
'Nuove'
'I&apos;m sorry'
'I&apos;m sorry'
'It&apos;s Bukowski&apos;s'
'Curiosity'
'I&apos;m fine'
'Giusto'
'Giusto'
'Mai visto'
'Ti giuro'
'Ah giusto'
'L&apos;hai visto?'
'Pink'
'Giusto'
'L&apos;hai visto?'
'genius **'
'stai? **'
'Mi ispiri'
'I&apos;m joking'
'I&apos;m sorry'
'Ah ok vai all&apos;avogadro?'
'Cos&apos;ė?'
'...sí, mi ė dispiaciuto.'
'Peaky Blinders mai visto'
'Ciai'
'30 km fuori'
'Tirocinio?'
'Giusto'
'Era ieri, giusto'
'Va be&apos;...'
'L&apos;hai mai visto?'
'Va be&apos;, ok'
'Giusto'
'Tuo alias?'
'mio**'
'Ciai'
'I&apos;m in'
'sir!! ur so pretty, i&apos;m jealous '
'Or bavaria'
'Na, Liucija, ar mėgsti tokias šventes kaip Velykas?'
'Man šitas, kad važiuot nereikia ir pusę dienos prie stalo vagyti pervirtus kiaušinius labai patinka 😄'
'Tai atšventei viena kažkaip ar visiškai nieko?'
'Aš pusryčiavau pas tėvus, o po to vaikščiojau po Vilnių - fainai dar kai sekmadienį apie darbus negalvoji'
'Stipriai saugaisi, kad antros Velykos viena?'
'Uu, sesija. Pasiilgau tų periodų visai 😀 bet dar ne tiek kad vėl studijuoti 😀 ką mokaisi?'
'Ačiū, meninke'
'Na, Indre, koks pirmas keliavimo destination&apos;as kai baigsis covid&apos;as?'
'Jaučiu aš labiau ką tik 😀 vakar grįžau 😊 kur buvai, ką veikei?'
'Kenijoje beveik 4 mėn su intarpais Ugandoje ir Tanzanijoje 😄'
'Ir kaip atostogos?'
'Dirbu su tom rinkom aš, tai važiavau dviem savaitėm ir tada 4 kartus prasitęsiau 😄 tai gavosi žiemojimas. Visai patiko, galėčiau gal net kiekvienais metais 4 mėn važiuot kur šilta'
'Aha, kuo ilgiau būni, tuo daugiai dalykų aplankyt atsiranda 😊 aš irgi nemažai nespėjau'
'Lygiai tas pats ir Kenijoje - komendanto valanda nuo 22h, bet viskas veikia'
'Geriausia istorija iš to regiono apie covidą yra, kad Tanzanijos prezidentas balandį pasakė, kad ten covido nėra, nes Tanzaniečiai daug meldėsi 😀 tai prezidentas prieš savaitę mirė nuo covido 😀'
'Visada anksti eini miegoti ar dėl komendanto valandos čia?'
'Kaip sekmadieniauji? 😊'
'Pusiau pradirbau, šiek tiek intensyvus periodas su darbais dabar man'
'Gerai, viena žinutė per dieną - reikia pilnai išnaudoti'
'Papasakok man kas tu. Ir labiau ne ką dirbi, o kas esi ir kuo džiaugiesi 😉'
'Same, labai nemėgstu tokių klausimų 😄 gyventi ir man labai patinka - patinka ramybė, bendrai stengiuosi būti racionalus ir elgtis protingai. Pažaidžiu futbolą, skvošą, biliardą &lpar;3 kart Lietuvos čempionas 😄&rpar;, dviračiu pavažinėju, bare su draugais kokteilį išgeriu. Džiugina mane buvimas su fainais žmomėmis, tai va čia jau ilgai ir ieškau to žmogaus kur man labai fainas būtų 😄'
'Eini į pasimatymus &lpar;labiau ne ar buvai, o ar eitum 😄&rpar; šiais covid&apos;o laikais? Aš norėčiau su tavim susipažint. Žinoma, po to kai izoliacija baigsis'
'Aha, visko po truputį fainai yra. Aš pilnai galiu visą savaitgalį nieko neveikt ir irgi gerai jaustis &colon;&rpar;'
'Karantinuotis irgi gerai - labai daug darbo turiu šiuo metu, tai galiu kiek noriu dirbti be jokių pagundu 😀'
'Ilgai, tai maždaug nuo 2015 🙃 su keliom trumpom pertraukom'
'Aš tokiais dalykais netikiu kaip kad nieko nedaryk ir viskas susitvarkys 😄 labiau eik į kuo daugiau pasimatymų ir tikrai daugiau šansų sutikti patinkantį žmogų'
'Suprantu tave - man irgi tie pirmi pasimatymai ne pati mėgstamiausia veikla. Bet aš tikiu, kad man draugė&sol;žmona&sol;šeima bus labai aukšto prioriteto dalykai ir rasiu jiems laiko. O pirmas pasimatymas ir yra pirmas žingsnis to link 😀'
'Stengiuosi neprievartaut žmonių jei jie nenori susitikt, tai up to you. Aš norėčiau su tavim susipažint 😉'
'Neturiu ig &colon;&rpar;&rpar; FB tinka?'
'Na, Indre, einam pasivaikščioti kitą savaitę? &colon;&rpar;'
'Parduota &colon;&rpar; link vakaro, tarkim 18h?'
'Aš jau galvojau &apos;that&apos;s the spirit!&apos;\n\nGerai, pakviečiu tave FB ir pasiderinsim &colon;&rpar;'
'Tikiu, kad ateis diena kai tu prabilsi'
'Neaišku tik ką ir kaip'
'O vau kokia graži antra nuotrauka!'
'Ėjau vakar per match&apos;ų sąrašą su mintim kam parašyt. Tai pakliuvai ir tu 😄'
'O yra kas nors čia tau kokį gerą openerį parašęs, kur likai sužavėta ir aš galėčiau pernaudoti? 😄'
'Normalūs tie metai. Man jau praėjo psichologinės covid&apos;o sloga 😀'
'Ah, nu tie personalizuoti gerai, bet juos taip sunku sugalvot'
'Aa, nu prie meno irgi 😄'
'Žinau, kai turiu, tai ir darau taip'
'Kai neturiu, turiu klasika tampantį klausimą apie keliavimą'
'Nee, su personalinėm tai jau nuo seno suprasta buvo kad gerai'
'Stengiuosi Afrikos labai dažnai netraukt, nes pačiam jau neįdomu'
'Ai bet šiaip tam tinderyje per didelė konkurencija, reik keist acquisition channelį'
'Turiu'
'Šiaip tai galėtum tu suorganizuot kokią draugę 😀'
'Neatnaujinai dar santykių su fotografu? 😀'
'Tai o ką, be šitų nesąmonių irgi negyvenimas 🙂'
'Linksmiau long run&apos;e vis tiek'
'Va kad ir mes pabendravom, visai gerai 😀'
'Man kažkaip įdomu kaip tau toliau seksis'
'Norėčiau status update kaip kad versle būna 😀'
'Kas ketvertį'
'Reiktų edukacijos man daugiau, nes prasileidimas kažkur yra 😀'
'Aš ką išmokau'
'Tai nereik imt asmeniškai tose situacijose'
'Tai taip ir reaguoji atgal, kad ir neadekvati ant vietos 😀'
'Good. Smagu pasiupdatinti su tavim'
'Nepadeda tos mano kalbos'
'Tik per ilga laiką dažniausiai veikia'
'Pradžioj kažko kito joms reikia 😀'
'Dedu telefoną, eisiu pagulėt jau'
'Metai eina, relationship statusai nesikeičia 😄'
'Na, Agne, koks pirmas keliavimo destination&apos;as kai baigsis covid&apos;as?'
'Oho koks keistais pasirinkimas 🙂 kodėl ten?'
'Aš dabar jau darbinėje kelionėje, tai next weekend trip turim suplanavę į Ugandą &colon;&rpar;'
'Na, Jurga, koks pirmas keliavimo destination&apos;as kai baigsis covid&apos;as?'
'Travel kaip passion ir jokių planų? 😮'
'Aha, aš išvažiavom keliom savaitėm, bet jau antrą kartą bilietą nusikėliau 🙂 nelabai yra dėl ko skrist atgal dabar į Lietuvą'
'Daug šalių aplankei modeliaujant?'
'Ką dabar veiki?'
'Na, Egle, koks pirmas keliavimo destination&apos;as kai baigsis covid&apos;as?'
'Na, Deimante, koks pirmas keliavimo destination&apos;as kai baigsis covid&apos;as?'
'Įjungėm vakar latviui lietuviškas merginas paswipe&apos;inti, tai sumatchino su tavim 😄'
'Labas, Egle &colon;&rpar; nee, saugiai viskas buvo daroma 😊'
'Šiais metais neblogai jau - šokau parašiutu Zanzibare + beach party 😄 įdomus jausmas, kai pas mus full lockdown 😄'
'Kaip tu sutikai?'
'Nee, aš saugiai dalykus darau gyvenime &colon;&rpar; minkštas kamuoliukas buvo'
'Kaip supratai apie tą saugumą? 😄'
'Kaip ar ką'
'Nežinau net kuris geriau'
'Tai kas, be meno ir dizaino, dar džiugina gyvenime tave?'
'Spėju apie keliones nedaug papasakotum iš šių metų, bet apie kitus dalykus mielai pasiklausyčiau'
'Ypač laisvė, knygos & kūnas'
'Kenijoje žirafa gyvena, ten tokiam žirafų centre'
'Labai fainai valgo jos iš rankų ten'
'Šiaip niekada man niekas dar nėra atsakęs į tą klausimą žodžiu kūnas'
'Gražiai surašei čia &colon;&rpar;'
'O tu Kaune? Nes skambi labiau iš Užupio, nei iš Kauno'
'Nee, man botanikės visad labiau patiko. Nežinau dar pilnai kodėl tik, nors variantų įvairių yra'
'Nu va, o aš jau norėjau klausti kaip tu tuos santykius su vilniečiu įsivaizduoji'
'Nu jau. Kokių čia dar bėdų šiuolaikiniam gyvenime būna be visokių nekontroliuojamų dalykų'
'Tai o Vilniuje butus įrenginėji?'
'Šiaip sunkiausia dienos dalis atsikelt man'
'Tai jau kokios tais mintys kankino'
'Iš namų dirbu, gi saugiai dalykai daromi 😄'
'Aš marketinge&sol;pardavimuose dirbu. Finansuojam visokias transporto priemones Kenijoje ir Ugandoje mes'
'Tai va užsirašiau testui kaip tik'
'Skrisiu neužilgo &colon;&rpar;'
'Oj, tai kaip tu taip neatsakingai &colon;&rpar; ką susitikimuose derini?'
'Galima, aš tik prieš tris savaites grįžau'
'Ten nėra labai bloga situacija'
'Jie komendanto valandą naktimis turi, bet dienos metu viskas veikia'
'Ir neblogai jie ten saugosi, mam temperatūrą po 5is kart per dieną pamatuoja'
'Gruodžio 3 skrendu'
'Nu jo, su medžiagom sunkiau nuotoliniu'
'Apie butą mane neramina, kad turiu užsakęs plyteles 2,7x1,2m'
'Tai nežinau kaip jos bute atsidurs'
'Ir kaip man jas sudės'
'Ir kaip iš vienos iš jų bus virtuvės stalviršis'
'O šiaip, nieko labai stebuklingo, normalus butukas turėtų gautis'
'Bent jau vizulkės gražios iš dizainerės 😄'
'Tai reiks kažkur kitur tavo kontakto'
'Per tinderį neišmokau dar atsiųst'
'Tas daugtaškis dar vienas neraminamtis ženklas'
'Vau'
'Niekada dar nesu gavęs whatsapp čia 😄'
'Na, Greta, koks pirmas keliavimo destination&apos;as kai baigsis covid&apos;as?'
'Na, Urte, koks pirmas keliavimo destination&apos;as kai baigsis covid&apos;as?'
'Kokia šalis'
'Kuriam laikui'
'Ką veiktum'
'Skamba lyg reiktų tau jau kelionės aplink pasaulį'
'Ką dar gyvenime mėgsti tiek kiek keliavimą?'
'Įdomus tavo rašymo stilius'
'Norėčiau pamatyt ar ir gyvai panašiai bendrauji 😄'
'Einam pasivaikščioti'
'Ryt'
'Vingio parkas'
'Visad norėjau su tavim susipažint, bet kažkaip normalių progų nelabai ir buvo'
'Beet, kitas dalykas - aš kažkodėl galvojau, kad tu ten susituokus jau 😀'
'Mhm, yra tarp pažįstamų dabar tokia tendencija, kad tos ilgalaikės poros kažkaip skiriasi. Išauga matyt vieni kitus 😀'
'Ačiū! Nors ta trečia būna patinka, matyt dėl 🍑😀'
'Bet žirafos faina, prisidariau ten nemažai nuotraukų. Į tinderį labai tinka'
'Beje, tu Vilniuje ar Kaune gyveni dabar?'
'Prieš kelias savaites grįžau. Su darbu man čia tenka nuvažiuot į kelias egzotines šalis, tai tuo pačiu žirafas ir kitokius gyvūnus aplankau 🙈'
'Suuper. Likai po studijų Vilniuje, ar vėliau krausteisi?'
'Nee, nesusirgau. Teko garbė testuotis žinoma, bet nėra labai baisu 😀 o ir ten Afrikoje nėra labai bloga situacija daugelyje šalių. O lėktuvai irgi nepasirodė labai pavojingi'
'Loreali tu ten Rygoje, teisingai? Latviškai pramokai? 😀'
'Kaip psichologiškai sekasi namie nuo kovo?'
'Ką dabar po Lorealio darai? Patiko šiaip ten?'
'Joo, nu man tai nelabai patinka iš namų. Man darbas ofise daugiau žavesio turi, aš kai tik galima buvo, tada ir ėjau'
'Tai dėl to man tie karantinai labai nepatinka, bet per pirmą buvom Nidoje kurį laiką, tai ten tokios pusiau atostogos buvo labiau 😀'
'O, irgi fainai. Tai gal kartu kažką su Donatu? Buvom čia kažkada su juo papietauti prieš karantiną'
'Šiaip sakyčiai neprisirašinėsim čia, einam susitikt. Bet nežinau nei ar galima, nei ką veikti reiktų dabar 😀'
'Man visad įdomu buvo kiek iqos pardavėt jau Lietuvoje. Nes atrodo tai nerealiai daug, bet gali būti socialinio burbulo apgaulė 😀'
'Gerai, jei labai daug kontaktų neturi kiekvieną dieną, tai aš būčiau už pasivaikščioti kažkurią gražesnę dieną 😉'
'Laimėjai internetus šiandien ❤'
'Geras aprašymas tavo. Prieš kokius 3 metus panašų buvau ir sau pasidaręs'
'Atsidarymas su torčiuku patiko'
'Jei viskas teisingai padaryta, tai todėl, kad gimtadienis buvo'
'Visai neseniai 😀 gerai, o kodėl torčiuką siuntei?'
'Nu trečiai nuotraukai labiau tiktų persikėlis 🍑'
'Patiko nuotrauka? &colon;&rpar;&rpar;'
'Mhm, tikrai gražus dangus ten'
'Tavo visos nuotraukos su tokia rimta emocija'
'Nemėgsti šypsotis?'
'Ir jokių 🎂🍑 nuotraukose'
'Tai kokiomis kitomis savybėmis bandai čia vaikinus sužavėti?'
'Aš tik fake accountą turiu, tai nenoriu kaip keistuolis iškart pasirodyt'
'Aš tą pačią taktiką naudoju čia, tik rezultato neįvardinčiau kaip labai gerai pavyksta 😀'
'0 followinu aš, bet kai reik eit pasižiūrėti ką nors, visai pravartu. Ten stories gali pasižiūrėti'
'Buvo jau atvejis, kai sakė tai followink mane su fake accountu'
'Nu toks gaunasi, aš matau tavo papildomas 132 nuotraukas, o tu ne 😀'
'Gerai, jei atsiųsiu requestą, priimsi? &colon;D'
'Fb naudoju, bet ten mažiau nuotraukų nei čia 😀'
'Žodžiu, ne pats aktyviausias social vartotojas iš manęs'
'Jėga, išsiunčiau. Laukiu dabar ir eisiu nagrinėti 😀'
'Ai žiūrėjau tą dieną big bang theory, geras bairis buvo apie Leonardą'
'Pražiūrėjau va 😀 šypsenš vis tiek nepamačiau, bet kačiuką panašu myli labai'
'Nenaudoju aš ig šiaip. Waste of time 😀'
'Taaip. Mėgstu padirbt; išeit į miestą kur pavalgyt&sol;drinksą išgert; futbolą žaist; skvošą žaist; badmintoną žaist. Labiausiai vis tiek mėgstu įdomius žmones ir bendravimą su jais'
'O tau tikrai 20? 😀'
'Ką padirbt mėgsti?'
'Nu skamba kaip kad kažką rimto darai &colon;D o tu Vokietijoje gimusi? Kokia čia ta istorija?'
'Mm, visai įdomi &colon;D patinka tau Vilniuje gyvent? Kur dar norėtum?'
'Match&apos;as per du appsus ir dar su super like&apos;u. Matyt stipriau pradėt neįmanoma 😀'
'Tu įsivaizduok, aš iš pradžių išvis nustebau - atidaviau super like&apos;ą tinderyje, o sumatchinau bumble 😀'
'Šiaudeliai fainai, bet tik 2 ir turiu nuotraukas su jais 😀 viena kaip tik visai nauja. O nuotrauką kurią dedu į tinderį gaunu laaabai retai 😀'
'Oj, labai gerai. Tik šeštadienį grįžau iš ten kur šilta gera. Tai tik šią savaitę taip labiau namie &lpar;prisiduodu, kad izoliuotis nereikia 😀&rpar;, bet vakar va gimtadienis buvo. Labai patiko, nes nereikėjo niekur švęsti 😀'
'Kaip tavo dienos eina?'
'Kur pirmas keliavimo destination&apos;as bus po covid&apos;o?'
'Emociškai sunkiau nes saulytės nėra, ar šiaip susideda iš visko?'
'Man kartais tas rudeninis liūdesys visai patinka - ruduo, lietus, sekmadienis, po kaldra, žiūri kokį serialą. Truputį liūdna, bet šiaip gera'
'Grįžau iš Kenijos 😀 ten su darbu man tenka vis pakeliaut, tai labai faina. Testą dariausi, ašaros riedėjo, bet šiaip nėra labai baisu. Trumpai užtrunka, tai tokį aš strong enough pakentėt 😀'
'Australija labiau realu kiek pamenu pagal situaciją 😀'
'Aha, ta tamsa tikrai baisu. Dar kai laikrodį pasuko, tai visiška nesąmonė 🙄 beet, reik pačiam šviesiau žiūrėt į pasaulį stengtis. Nors būna koks liūdnas ketvirtadienis, sėdi sau vienas, nėra ka veikti, tamsu. Tada tai va ir man liūdna būna 😀'
'Aha, ir pirmos nuotraukos iš ten. Labai gera vieta buvo. Peru&sol;japonų virtuvė, tai super skanu'
'Telko anksčiau dirbau 😀 bet Lietuvoje. Dabar automobilių&sol;motociklų finansavimu Afrikoje užimu savo dienas'
'Ką tu veiki gyvenime?'
'Ir dar klausimas - kas džiugina tave gyvenime? 😊'
'Mm, super. Taip bendrai tai tikriausiai labiausiai džiugina žmonės, visgi svarbiau ne ką, o su kuo &colon;&rpar; o bendrai, tai daug dalykų mane pradžiugina, kaip kad geras excelio spreadsheet&apos;as, cuddlinimasis, dviratis, Nida, maisto dalinimasis, drink&apos;sas Vilniaus senamiestyje, lėtas sekmadienis, ilgi pusryčiai, Indian food, competitive sportai, karštas dušas ir saug kitų tokių dalykų &colon;&rpar; o šiaip dar patinka kai ramu viduje, aš toks labiau sėslus vis tiek - man namai, rutina ir stabilūs dalykai patinka'
'Nice, prie kokios didžiausios investicijos pritraukimo teko padirbėt?'
'Šiaip sakyčiau jau einam susipažint, bet nelabai suprantu ar galima dabar, ar ne 😀'
'Aha, man dažniausiai ramu. Būna, kad kas išmuša saugiklius, bet šiaip aš toks kur mažai piktų jausmų turiu'
'O tu kaip? Beje, tavo instagramo aprašymas toks gana įdomus. Papasakok plačiau 😀'
'Nice, šaunuoliai. Dar spėju negali pasakot ką pritraukėt? 😀'
'Labai patinka planas. Kada tu grįžti į Vilnių?'
'Tai tau artėja kalėdinis Hario Poterio žiūrėjimo laikas jau, ar žiūti dažniau nei kartą per metus? 😀'
'Kokie tie pokyčiai? Jei ne paslaptis'
'Aš būčiau už penktadienį, jei jau vynelį gersim'
'Ieva, vau. Aš tau komplimentą noriu pasakyt - man labai patinka kiek ir kaip tu stengiesi čia gražiai atrašyt 😍'
'Aha, aš praeitais metais irgi per lnk visą seriją sužiūrėjau. Bendrai visi filmai geri, nors man tie kur jau vyresni visi labiau patinka. Žodžiu, su mielu noru prisijungčiau į tokį maratoną 😀'
'Nu šiaip aš apakęs tavo meile Hariui skaitant šitą istoriją 😀 iš kur ji čia tokia atsirado?'
'Kaip ten tam Singapūre? Kur tau šiaip labiausiai patinka gyvent?'
'Ačiū! Jaučiu einu įsijungt tą serialą. Užvakar irgi galvojau pradėt žiūrėt ką nors, bet neįmanoma man išsirinkt 😀 labiau patinka kai filmus ir serialus kitas žmogus išrenka 😀'
'Sužiūrėjau 4ias serijas. Nereiktų dirbt ryt, tai ir pabaigčiau per šiandien 😀'
'Faainai dėl tavo tokios meilės kalėdoms, smagu kai moki džiaugtis. Man kažkaip tokie žmonės &lpar;mylintys kalėdas&rpar; asocijuojasi su šeimyniškais ir labai šiltais. Net nežinau, ar čia tiesa, ar koks bias mano 😀 bet statymas būtų, kad tu tokia - aš net iš nuotraukų iškart mačiau 😀'
'Gerai, Singapūras + Afrika gyvai 😀 tik neaišku ar pavyks penktadienį, jei viską uždarys. Alternatively, jei nebus labai šalta, galim aišku ir lauke pavaikščioti. Nors aš šiltai vyno 100x labiai norėčiau 😀'
'Aš va baigiau darbą, užvalgiau, atršau tau ir einu žiūrėt toliau 😀 buvo pagunda net per pietus gal seriją įsijungt 😀'
'Nee, su darbais viskas gerai, nes Afrikoje ten kol kas full speed. Man nepatinka iš namų, bet nu nelabai to pasirinkimo yra 🙄 o tau kaip? Pas jus, spėju, daug projektų ant pirmos bangos ant pauzės perėjo, ar ne? Dabar stoja kas nors?'
'Laimėjai? 😀 aš taip niekada daigiau nei taisyklių ir neišmokau, nors pagal mano charakterį turėtų visai patikti'
'Mes jau irgi kalbėjom, kad reiks į Nidą šauti gal keliom savaitėm 😀'
'Daug vynelio išgeri? 😀'
'Tai kokios prognozės dėl US? Čia visi ekspertai dabar 😀'
'Labai įdomu šiaip man apie tuos verslus visus. Man vis tiek viena įdomiausiu temų tai 🙂 tai su mielu noru klausyčiausi visų tų paslapčių kur turi 😀'
'Nu tas gal modelis kelias dienas per savaitę iš namų priliptų ir man. Bet aš šiaip ne didelės valios, o teisingų įpročių žmogus - jeigu reikia mest svorį, tai man labai lengva nepirkt sausainių parduotuvėje ir labai sunku jų visų nesuvalgyti jei jie jau namie 😀'
'Joo, išeinu į finišo tiesiąją jau. Baigiau e06, pradedu paskutinę seriją 😇'
'Tau suprantu 3jų vakarų prireiks įveikt? 😀'
'Gerai! Aš pažiūrėsiu kokių vietų &lpar;arba jei žinai kažką labai faino, tai drąsiai sakyki&rpar;. Išsirinksim, rezervuosiu ir aptarsim visas šitas temas 😀'
'Piano piano super 😊 O tu buvai tame naujam užupio?'
'Ieva, niekas nesikeičia? 19h piano paupys? 😊'
'Kokias 5min vėluoju'
'Jau viduje aš'
'Na, Kotryna, koks pirmas keliavimo destination&apos;as kai baigsis covid&apos;as?'
'O, ne pati geriausia vieta keliavimui šiuo metu 😀 kodėl būtent Praha? Ir ar ne per trumpai savaitgaliui? &colon;&rpar;'
'Aš tai visai į kalnus norėčiau jau paslidinėt, nes praeitais metais nesigavo jau. Bet panašu šiam sezone irgi nelabai realu 🙄'
'Žiūrėsim, kažkaip nebaisiai net norisi planuoti tas keliones dabar 😀'
'Kas be kelionių dar džiugina tave gyvenime?'
'Kaip covid&apos;ą bendrai sekasi išgyventi? Didelė įtaką padarė ar nelabai? 😀'
'Joo, aš irgi visai laukiu grįžimo į pre-covid laikus 😀'
'Vaikščioti faina, tik kad winter is coming 😀'
'Ką šiaip veiki gyvenime?'
'Panašiai ir man, aišku buvo stresiuko dėl darbo, nes aš marketinge dirbu, tai palei poziciją vienas pirmesnių atleidimo eilėje 😀 bet bendrai viskas gerai, mes Nidoje leidom pirmą karantiną, tai tokios pusiau atostogos'
